Number,Date,Rating,Review
149,8/6/2018,4,"We spent about 6 hours here during our summer vacation.We enjoyed the park very much. Here are a few things to remember in case your planning a visit here.1. Get the entrance tickets in advance as you might get a discount 2. Don't buy the front of the line special if your visiting during week days,and if you decide to get the you can always go and purchase it anytime while your there.3. Make sure to see most of the shows, the dolphin show was the best one.remember the first 5-10 rows are wet zone, meaning you'll get wet during the show( bring a shower hat in case your worried of getting your hair wet like I was.....but on these heat a little wet is probably welcomed by many people.4.reserved seating means that you have only reservation for a section instead of actual seat... so I wouldn't bother getting it.Make sure to bring hat since all the shows are in the open without any overhead cover , so your sitting in direct sun( not recommend it for infants or very small children)I can not say anything about the restaurants and the food since we returned back to our hotel to have a late lunch.If you can make sure to take Uber there instead of driving your self, there is a designated area for drop off and pick up by Uber so it is made very convenient and easy."
150,9/21/2019,2,I was so excited to go to sea world but very disappointed the food services and way-finding components of my visit. Wayfinding was very difficult. I was there on a summer Sunday and the food services were understaffed and underprepared for the crowd. There were 30 minute wait lines at the Explorers Cafe with only 2 of the 5 potential registers open.
151,8/5/2018,4,"SeaWorld. I've grown up at this place. Haven't been here in years and it was crazy to see how many changes they've made. First of all we bought season passes which were $9.99 a month per person which is affordable for any budget. No blackout days and free parking included. They also give you 10% off the food if you don't buy the all you can eat passes. We walked in and saw there were a few roller coasters. Â Eel, Manta, Atlantis, etc. Really cool roller coasters. Although the shamoo show is gone, there's still plenty to look at and do. Many exhibits. Many animals. Let sharks, fish, etc. We had a good time. Just the weather wasn't on our side that day. Super hot and humid."
152,8/19/2019,1,"It's pretty sad out here. The staff is super lazy. We're in line for ""Electric Eel"". They keep allowing singles over and over without making any attempt at all to fill the seats. Hopefully the day doesn't continue down this road. The fact that rides open at 11 and that the park opens at 10:30 is crazy too. You want us all to pay top dollar to just stand around? Last thing is parking. You should be ashamed of yourselves for charging for general parking. That's just rude."
153,8/21/2018,4,"The shows are amazing! I appreciated the positive training, the environmental awareness and the focus on rescue animals. Â One can see that hours and hours of training go into each performance. Â In addition to the educational aspect of the shows, there are also rides.The roller coaster rides are a lot of fun. There's a roller coaster for everyone. Want to get wet? Go on the spinning river ride or the deep drop into the water on the roller coaster -.......the lines aren't bad either, especially when it's hot outside.The sky needle charge of 5.00 a person is a tad unreasonable when one has paid admission and parking Â for 4 people. Â Your competition Disney and Leggoland don't do that. And the food there is awful, just awful. Â As a captive audience, we were trapped. Won't happen again though as despite your rule of no outside food in the park, we saw quite a few other families pull sandwiches out of their backpacks. Â All in all, we had fun, despite the horrible lunch."
154,3/19/2019,5,"This is one of the best places to take your kids. We took our toddler here one time and he had a blast! even if he was just walking in circles, he enjoyed looking at the aquariums. There were not much people that day so all attractions were not packed. We will take him here again when he's older."
155,10/7/2019,3,"I always have a great time with my kids at Sea World. There is one down fall sometimes, the kids ride area may be short staffed and one operator will need to man 2 rides making wait times doubled. They need to cross train some broom people to cover these times"
156,8/28/2018,5,"Ok. I have a soft spot for seaworld. When we lived in socal our kid was young and we would take her to seaworld a few times a month. Lots of good times. Now, sadly, most of the shows are long in the tooth. So, why 5 stars? Â Two words - cirque electric. Wow did that show blow me away. The acrobatics, use of light, water etc were amazing. Loved the jet ski action. And the music is infectious. Could watch that show every day (and now i/you can on you tube). New additions to the park include way better food choices than 2001-2006 when we lived here. Atlantis isn't that new but it is cool. Manta is a solid coaster. New one is insane!!! Â Freaked me out. One and done . Wifey and i still love pets rule after all these years. YMMV"
157,2/20/2019,4,"This place is fun. We had a good time. We came after the heavy rains so it was not too busy when we went. I was afraid that Shamu show would be terrible after the changes. The show was pretty good. The new background screen is really impressive. I learned a lot. It was more educational and the orcas did the normal Shamu things. All of the rides, attractions, and animal habitats were well maintained. My kids had a good time and enjoyed the play areas. This place is not as expensive as Disney but it is expensive. Bring extra money. It was $22 for general parking. For lunch, We had 2 burgers 2 kids nugget meals and 2 beers. It was $101. Plan your day before you come. That way you can be sure to see all the shows."
158,10/14/2019,4,"A fun spot for the whole family. Lots of attractions to see and do. The animals here are really cool and you get the chance to learn about them through the educational info they provide for you. The food here is typical for an amusement park, nothing special."
159,9/30/2019,5,Sea World is an amazing and wonderful park! Â I love all the work they do for the environment and conservation. Â They balance the fun and thrills of a theme park with educational aspects. Â I've been a pass member for nearly 10 years and have enjoyed all they bring to San Diego and to the larger community as a whole. Â My only wish is that they upgraded more sections of the park (ie the really old looking Penguin Encounter) and added a bit more aquariums and such since they took out the freshwater aquarium.
160,7/2/2019,2,"Color me totally disappointed. While I haven't been to SeaWorld in many years, I expected it to be better and even more fun than ever. It was not. First of all, regular parking is $22 - not as much as some places, but still have to factor it in. Then, we had to stand in line to go through security for over 30 minutes. We got inside the park (finally) and it was uncomfortably difficult to figure out where to go. Instead of having small pools and attractions - there are a couple insignificant ones - there are dozens upon dozens of small understaffed food stands. We went there on a Sunday in late June and a good half those stands were empty. It made the park look somewhat deserted. We also noticed how much trash there was on the ground and didn't see anybody picking it up. It felt dirty. BTW - restrooms = gross. We finally found the orca whale exhibit where you could watch them swim - I was surprised at the amount of algae on the viewing glass but maybe that's normal. There was not a soul there to ask questions of. Saw the seals/sea lions - not impressed. Went to the dolphin show - totally underwhelming.Now for the food. After looking at a few of the places to eat, we settled on Shipwreck Reef Cafe. The food was actually pretty good there - we had the rotisserie chicken. Finding a cashier there was tricky - a sign or two would have helped.Overall, a big disappointment. Glad we didn't pay for our tickets. We used our free Veteran's tickets."
161,3/23/2019,3,"This placed turned turned into a wonderful place to spend your day in to the saddest place you can be in. On the brighter side, I am glad they are now focusing more on protecting animals. I am a member for a while and I have seen how this place changed significantly due to a change in administration. The Dine all day was a big promo to save until they decided to you can only avail of it every hour. So if you are so hungry, you have to wait for an hour before you can eat again. Now if you buy a souvenir, you now have a choice to have it put in a bag, only you have to pay 10cents for the bag!!! Seriously? What's next Seaworld?!!!Update 3/23/2019Oh boy!! It can only get worse!! Not only they raised up the prices for the food, servings are down to have. Just imagine your kid so hungry and getting a meal of 4pcs chicken nuggets and 5 pcs of friesâ€â€. Â Mine was for pcs of thinly sliced briskett!!!! Its getting better Seaworld!!!"
162,1/5/2018,4,"Grew up and San Diego and going to Sea World has been a rare thing. Â The last time I've been was over 17 years ago. Â We decided to bring in the new year with a Sea World annual pass.Upon entering the park has changed a lot. Â The park has always been really nice as far as appearance and well maintained. Â We arrived during Christmas time and enjoyed all the Christmas decorations. Â I wish we had been able to see the park at night with all the lights. Â Sea World has always been a marine park, but it is evolving to more of a theme park. Â One of the most recent additions has been the Manta Roller Coaster and they are in the process of building another coaster (Electric Eel 2018) There are also a lot of smaller carnival type rides perfect for kids. Besides the rides Sea World is a mixture of animal shows inside amphitheaters and animal exhibits. I enjoy the walk through encounters like the penguin and shark encounters. Â The open exhibits that are sea life touch pools are great too. Â I have to say the high light was riding Manta. Â The coaster was really thrilling, but at the same time great for families. Â From the moment you launch off it is an exciting ride with many twist and turns.We were able to watch the Dolphin show while we were there. Â It reminds me of how I use to remember Sea World and it was entertaining and fun to see the animal acrobatics. Â Overall Sea World annual pass is a great value and they have a host of different events going on through out the year which gives you a reason to come back."
163,10/15/2019,5,Absolutely love it here! Just became annual pass members and it's so worth it love to just come during the week for a couple hours! Workers are always so incredibly friendly and the waits for anything are never really to long great place to come!
164,7/5/2019,1,"What a disappointment. First; rude staff on several occasions. Twice in parking lot before we even got into the park. Having staff roll their eyes at us as we ask if there is a spot closer for disabled parking. Second; filthy. Garbage everywhere and bathrooms that smelled like sewage was backing up into them. Third; food service. You'd think they weren't expecting anyone today. Not to mention running out of many food items in the middle of the afternoon. Go to get food and then be told they don't have: lids, straws or trays. Try carrying 4 orders of food and drinks back to your family. The sea lion and dolphin shows were good, but, not enough to salvage the day. I will likely never be back again. Save your money and go somewhere else."
165,10/13/2019,5,"We purchased 3 in 1 ticket for SeaWorld, SD Zoo and SD zoo Safari park. We got there around 11 a.m. and left after 8 p.m. one can have so much fun with different shows, rides, aquarium areas, encounters with sealife etc. Great experience overall."
166,7/29/2019,1,"I grew up going to SeaWorld and it was well-maintained and pleasant to visit. Our family visited on 7/27/19 and we were very disappointed. The bathrooms were filthy. We waited for about an hour for a grab-and-go cafeteria dinner. We requested a cheeseburger without the burger (for a vegetarian) and the staff had to check with the management to see if they could do this. We told them we were okay with paying for a cheeseburger. Eventually they approved but required a staff member to escort us to the cashier to explain the ""custom"" order. It was so crowded that we could barely move from place to place. The aquariums were crowded, stuffy, and uncomfortable. It was generally an unpleasant experience. Some in our party already have complex feelings about SeaWorld and their holding of orcas. We support their rescue and rehabilitation programs though. This experience has soured us on patronizing the park and we won't be back."
167,9/28/2018,3,"I feel a bit torn with this review because growing up, SeaWorld was my favorite, as it combines an aquarium and a theme park together. It still kind of is, but it seems like it is aging and getting stretched thin as it attempts to compete with the rollercoaster driven theme parks as well as trying to keep up with taking care of its inhabitants. I just went this past weekend, and have the following comments:---- In the freshwater exhibit, there was a turtle which had parts of its shell coming off, an indicator that perhaps the turtle was not being taken care of as well as it could be in the exhibit.---- The turtle encounter portion seemed to reveal that turtles weren't as happy (perhaps).---- A bit inconvenient that folks are forced to rent out $1 lockers to keep stuff in order to ride Manta, Atlantis, or Electric Eel. While not ""a lot"" of money to spend, this could add up!---- We found it convenient to have a plastic SeaWorld cup option to refill alcoholic beverages. I think there was a small discount, too. ---- I thought the pineapple cup for the frozen strawberry margarita was cool! (Pictured)---- Shamu Show versus Orca encounter: Given the tragic events that have happened with the orca (as shown in Blackfish), the show has changed since my childhood with the team members riding the orca and doing tricks. Long gone are those days. Orca encounter aims to be more educational, of course with the water splashing all still very much incorporated.I mean, of course I'll eventually return... but it's still heartbreaking."
168,9/1/2017,4,"There are three questions you're probably wondering about SeaWorld:1. Is it worth visiting as an adult without kids?There's plenty to do for adults and not just those with kids. The key is to pick the right day/time of your visit. I recommend mid-week (Tues-Thurs) in any month but June, July and Aug.2. How long will I be at SeaWorld?Assume it will take most of your day -- at least 5 hours.3. What should I do and in what order?OK this is the interesting one. First, the setup: Buy your tickets online to avoid lines at the park. You should arrive at SeaWorld at 10am when it opens. This is key for parking and planning your day. Buy the general parking and don't pay the extra fee for ""park up front"". Since you've come early, it only saves you 3-4 rows. If you can't walk that far, you're in for a looong day. Be sure to wear plenty of sunscreen as you're outdoors for most of the day.Here's a suggested order:* When you first come into the park, stop at the touch pool. You can touch a variety of sea creatures, including urchin and and sea stars. But the highlight has to be the Cleaner Fish. They nibble on your hands with tiny bites. See how long you can keep your hand in the water.* Next stop, SkyTower. It's a double decker rotating pod that acts as an observation deck. Unless the fog is in, you'll have fantastic views in every direction.* Now head over to Dolphin Point. On the way, stop and watch the sea otters play. You can't get as close to them as you can in the Monterrey Bay Aquarium but it's fun watching these playful creatures. If you get to Dolphin Point by 11am, you should be able to see a feeding and even touch a dolphin. You can also pay extra for the personal dolphin experience.* You're next stop is the Dolphin Days at 1145. You need to arrive 20 mins early to get a good seat but be warned that you'll get wet if you sit in the first 10 or so rows. This was my favorite show of the day.* On the way out of Dolphin Days, you should head over to Sea Lions Tonight. It's a kitchy spoof of Saturday Night Live -- and a bunch of movies. The two starring sea lions, Clyde and Seamore, are pretty amazing.* Now you are free until Orca Encounter at 230. Grab some lunch, get on a ride, or just wander around. As you might expect, the food is pricey (you're in a theme park, what do you expect) but the quality is pretty good. I can recommend the Calypso Bay BBQ Smokehouse -- although ordering is confusing. We appreciated that there were vendors with fresh cut fruit wandering around the shows.* You can leave after Orca Enounter which means your day is over at 3pm. Five hours in the park.I should point out that all of the staff are very friendly."
169,4/19/2019,5,I forgot how much fun this place was! We enjoyed our visit so much that we upgraded to the One Year pass. We use to buy the passes when the kids were little but now they are all grown up and we thought that we would not need to do that...wrong! It is so much fun now to just get away and enjoy the park while we walk around with a beer in hand. This place is a perfect get away. Love it!
170,6/9/2018,5,"Growing up in SD, I've been coming to Sea World since I was in Kindergarten. Now having my own kids, we've been season pass holders for years. It's well worth it to buy the annual Fun Pass since it's the same price as a one day ticket. Â It's changed quite a bit since I was little, always improving their parks. The most recent remodel is the Ocean Explorer area to the right of the entrance to the park. This area has more kids rides. Eel & octopus aquariums and the most recent addition of the twisty and inverted roller coaster, the Electric Eel. It's like the El Loco ride at Circus Circus (if you've ever been) but smoother, in my opinion. I always enjoy coming here for a few hours for some exercise and seeing all the marine life and animals. Must do if you're in San Diego."
171,7/7/2018,5,Loved sea world! There's rides & shows! The manta ride was super fast but fun! Also I love going on the sky lift where it brings you above the water and you can see everything. Make sure you get the map & check the times the shows start. The dog show was good & I loved the shamu show! If you sit in the front you will get wet. Also get tickets online they are cheaper. Also if you go during the week it's cheaper. Also if you want to take pics in the park at certain areas I suggest a pic card(flash drive) it's cheaper & you can print your pictures or put on your computer. There's a spot where you sit on a fake shamu and with a green screen & it looks like you are riding shamu. Great park for kids and adults and for families.
172,7/29/2019,1,"It's official. Â Professionalism is out the window and it's all about greed with this park. Â They have outrageous and ridiculous fees (Look them up). The parking fees are even more ridiculous. Â They have ridiculously long lines for everything. Â I suggest SeaWorld accommodates its customers with service to match the fees charged. Â Expand the park, the staff, the restaurants, the shows, and the rides. Â I do not pay to stand in line the whole day. Â Please clean the place as there are filth and trash everywhere. Â Send someone out on a regular basis to sweep, clean the tables and refill the condiments and utensils. Also through no fault of the park, the birds around the park are now swooping down and stealing our food REGULARLY so be careful."
173,12/26/2018,1,"I have platinum passes for my family..today was the 2nd time i got in the electrical eel with my 12 yr old and we were riding the ride my son belt Â flew off it was the scariest thing ever. The ride tech said im sorry whats that gonna help?? . i had to hold him down the whole ride. Was the scariest thing ever i will NOT renew my passes again..so disappointed.. now i have these bruises reminding that i could of lost my son.. i have bruises on my right arm, it was the beginning of the ride when his belt popped out.. please ask questions look at the reviews Â before going in any ride.. this was not my first visit to sea world but after this idk if i can come back"
174,7/9/2019,2,After visiting SeaWorld in the first time in years I was soooo disappointed!!! There were hardly any animals to touch in the touch pools. Everything was so dirty!! The glass on the aquariums were so dirty you couldn't see through all the fingerprints! There are NOT enough bathrooms for everyone they let in! There are also not enough trained employees working the stands. I can't tell you how many employees I saw mishandling food. They are so unorganized it's sad. Not able to do simple tasks. Also there were several rides that were down! And just today as I'm writing this review I saw on the news that people were stuck for 3 1/2 hours on the skyride! What is going on here?? Are they not investing in maintaining their property? Or do they they need to pay more money to their employees to attract capable employees or what the issue is but I doubt we'll go back. It's NOT what it use to be!
175,11/12/2019,2,"Oh good ole Sea World. Being born and raised from San Diego we would always take field trips here. Â It has been over 20 years since I have been back until a couple of weeks ago. We have a four year old and we buy memberships every year to different theme parks. This year we thought heck let's do Sea World since I haven't been back in forever. Â While entering the park there were trash bins that were overloaded to the point where there was trash on the side. Â Well that was a bad welcoming sign. Â Then we have customer service line right when you enter that took forever because there was only one person working the desk, so the wait pretty insane. Â Next, my child had to use the restroom after standing in the long wait at customer service and oh boy that restroom was disgusting. Â Although my family and I enjoyed our time there I felt there was lack of cleanliness at this park. Â I've been to several theme parks and it's sad to sad as a resident of San Diego this place needs a lot of up keep."
176,10/12/2019,3,To start off this is not what you pay for. There is basically no animals and it's basically all amusement park so if you want to see only animals I would not recommend this. I would not recommend this because if you don't like amusement parks you will not like this. Also if you don't know how to read a map that well I would not go because Some even the park workers don't even know their way around so I would not go if you do not know how to read a map. Also the food was horrible. Overall it wasn't really a good experience because there's basically no animals and their food was horrible.
177,11/22/2017,4,"The place is fun! Â Started out our So. Cal. Adventure with SeaWorld to start slow and take things easy. Â We ended up staying for almost 8 hours. Â There's lots to do, lines we're short (Thanksgiving week and still was short), lots of fun shows to watch. Â The kids wanted to get wet, so I learned the front row center is where to be if you want to get soaked. Â Also, the dolphin show is the wettest. I'd recommend packing a jacket and keeping it in a backpack to keep warm when the sun goes down. Â I'd also suggest doing shows and wet rides to start the day, dry off in the sun and do all the other activities after. Â Bring a Hydroflask and pack snacks. Â There's places to refill all over and people are cool enough to put ice at food joints. Â Food is pricey and it's not good. Â A small personal pepperoni pizza is $10.99 and a little container of pasta with sauce is the same. Â I tried the Chicken Caesar salad, and the chicken was canned! Â Enjoy!"
178,4/21/2019,5,"Overall a great experience. Love the orca show. One of the best soak zone moment ever. These majesticAnimals really has enormous strength. Super fun and educational for the little ones. Love all of the touch pools and feed zone. The manta ray touch pool was AMAZING. My little one had a blast and already planning to come back. I say skip the seven seas tasting event. Mediocre food and small drinks. Do the all day if you're really hungry. Don't drink alcohol bc you'll get sun stroke like I did :(. Still I love it- will be back in 2 daysIn my myOpinion, They're just missing a tidal pool."
179,7/20/2018,2,Very old style. Too expensive for the kind of service. Not worth to spend the money to playã€‚ and it cost $89 per person at least! You have to pay for skyride and other games!
180,8/7/2018,5,"Getting hotel next to Seaworld is useless. The park opens at 10am, so you'd have plenty of time to get there from farther parts of San Diego. Probably not the best place for kids under 3. My 2.5 year old couldn't sit through the whole show. However, he did like most of other attractions. I wish they had a break room where you could have the kids take a nap. After few hours, my baby was exhausted so we had to leave. Do wear a hat. I burned my face lol.Pros: Great family vocation place and friendly staff. Cons: Not enough healthy and organic choices and no nap place for kids."
181,8/3/2018,2,"If you have a toddler, I would suggest going somewhere else. There is really not that much for them to do. The Sesame Street area was pretty dull. Our son was too small to play on the majority of the structures. The only area he could play on had 5 stuffed blocks and a semi-bouncy floor. Also, SeaWorld just isn't what it used to be. I loved going there as a child and now it's run down. We went on a hot summer day and they don't have misters anywhere. The stores barely had AC running. The water in the animal exhibits was murky and it was just boring.We basically wasted $200 ($22 for parking) for about 2 hours of boredom. Wish we could get our money back. Such a let down."
182,7/14/2019,3,"This trip was the complete opposite of our last one. Family of 6. $360 ish for tickets because I'm crazy at finding deals, $22 for general parking, $120 for lunch with an hour wait (1 register stopped working and they just merged it into the one I had been waiting in) then after a 70 minute wait at the electric eel was told I couldn't get on the ride unless I purchased a locker for my mini purse! So now my family is having a good time and I'm sitting alone doing nothing, because I refuse to spend more money to lock up my money. On the positive side I will not be coming back, so I'll have plenty of spending money somewhere else. It's been one thing after another since we got here."
183,8/7/2017,4,"SeaWorld was great, a lot of the timed shows are entertaining, but there needs to be more shade for the outdoors shows. Even with sunscreen on, it gets hot pretty fast on humid days in San Diego when the sun is just beating down on you. It's not as hot as the sun in Phoenix, but it's bad enough to cause sunburns. I'm sure staff can relate to, a lot of them are wearing gargantic-sized hats.Nevertheless, they really strive to keep this place clean which says a lot about a place that has a high volume of foot traffic... And kids! Kids make messes.You can drink alcohol at this place, just show your ID and you can get a 16 oz beer... For ten bucks. Ugh! That's amusement park pricing for ya, and it's because of these types of charges that deter me from coming back to SeaWorld on a more regular basis, even with the opportunity to purchase a lifetime pass. At the time of this review, it is $12.03 a month which calculates to about $144 a year for one single adult. This still does not justify the price point of ten bucks for a can of beer. Check out the penguin exhibit if things get too heated on the surface level. The penguins need to be kept cooled indoors, and so will you when you enter the place. Brr!ALSO protip, purchase the tickets online ahead of time, you will save almost nearly half off. At the time of this review, purchasing tickets AT SeaWorld costs $94.99 per single adult, but online it only costs $59.99 per single adult. As some other Yelpers have stated, sometimes their site can have availability issues."
184,8/28/2019,2,So disappointing!! This park was so beautiful when I was a kid. Now you can see how the corporation is trying to keep it afloat Â by adding rides. What do rides have to do with preservation of marine life? Â Also did not care how on the weekdays all merchandise stores are open but not too many food options & they don't allow food in. Â Too expensive & not worth the money...go to the SD zoo or wildlife park. You re bound to see a lot more!
185,8/3/2019,5,We visited here with our 2 kids and had a great time. Â Took advantage of weekday tickets at a slightly discounted price. Â General parking wasn't too far of a walk. Â Great shows and fun rides. Â It was better than we expected honestly. Â We were able to take our time enjoying as much as we could. Â Of course the food and drinks are way over priced. Â We Â shared a turkey leg and bought a refillable drink. Â Great vacation attraction!
186,10/5/2019,5,Sea World has definitely been one of our favorite places to enjoy a day out with family!
187,8/16/2017,5,I love Seaworld. Â I have been several times to the one in Orlando and this one. I never get tired of watching the sea animals. My favorite is the peguins. Â I also love that they have alot of different performances. From the dolphins to the Seals and the Orca entertainment. I highly recommend if your going to make a day of it to get all day dining deal pass. You can eat every hour until closing for $35.00 for adults. It is well worth it. You could easily spend that on a meal for Two on one occasion. If you can stay until it get dark to see all the cool lights. Â They also gave a DJ performing at night with people dancing and it's pretty at night. I enjoy the water rides and Â the Bayside skyride. Make sure you don't bring any plastic straws. Â I understand it's Â for the animal safety. I saw them make a lady toss them. It's best to purchase your tickets on line for faster service to avoid the long lines. We definitely would return again and please don't forget your sunscreen!
188,9/9/2018,5,"I wish people would boycott all my favorite places, that way there'd be far less people crowding up our experience. We had such a great time here! All the animals were beautiful, looked happy and well nourished, and all the care takers were very friendly, knowledgeable, and seemed to know exactly what they were doing. Also I had no idea how many animals you could actually touch! The rays, sharks, horseshoe crabs, and my favorite part were the cleaner fish.The rides were great, too! We rode the Manta Ray multiple times with virtually no line! And the new ride The Electric Eel was incredible, too! I don't know if I've ever been that nervous to ride a ride like that before!The best deal by far was their all day meal pass. We were stuffed every hour of the day with their incredible deal to get an entree, side/dessert, and drink. And the food wasn't half bad, either... with the exception of their personal pizzas from the sunken ship cafe which were bland and undercooked.I could definitely see myself coming back again. I hope Sea World sticks around for along while because I had a great time, and I know everyone else did, too."
189,7/13/2019,1,"This is for Sea world customer service- via the PhoneWE ARE A PLATINUM MEMBER who paid the full price but when I called then I was on hold trying to get someone for 1 hour. After that hour, I requested one of my benefits is to get 50% discount on Animal encounters and she read it off to me and confirmed it. I proceeded to give her all the 4 kids information including their shoe size and suit size for about 30-40 minutes and then when I was ready to buy it, she told me oh sorry our system says you only get 10%. When I asked for a manager, I was on hold for another 30 minutes. Then the manager was incompetent and was not able to help me. When I ask him who is above him he said no one. This managers name is SHEVAN - 9151. He couldn't speak English very well. I had to repeat myself at least 4x. If you are a Sea World decision maker, I want you to know that I will not be renewing our platinum membership and will spread all my experience with you guys with everyone I know. We have other options here in San Diego- you should revamp your membership benefits. Your phone customer service sucks. It's the worst people I have dealt with in my entire life. Rude, not helpful, incompetent, and unprofessional."
190,8/8/2019,1,"What a joke this time around. Now they lowered the price by a dollar or two and then they charge another six or seven dollars for additional rides Â inside the park. The tall sea world ride that circles the Â park to see what's going on is now in additional six dollars. On this last trip we just left, three of the new bigger rides were broken down and two shows were canceled. Seaworld is been really bad, I'm now they nickel and dime you for everything. Stay away if you possibly can. Go to the zoo, much more informational and a better family event."
191,6/28/2019,1,Just sharing. Â I puchased the all day food meal deal and it took one hour in line food. Poor customer service. Â Be Aware
192,7/19/2017,4,"Went here yesterday with the kiddies. Of course ive come here a few times as a kid.. but as adults, husband and I decided not to go here after seeing a certain documentary... eventually, we caved in and decided to bring the kids. Despite all the controversy surrounding SeaWorld, I think its a great place to take the kids.We went on a busy summer weekday. It's a big place, but not huge, so walking from one spot to the next with little ones was easy. You can easily spend a whole day here if you take advantage of everything they have to offer. We watched 3 shows, the Orcas, Dolphins, and sea otters. The revised Orca shows focuses on educating the audience. Â The sea otter show is quirky and funny, while the dolphin show really shows off their speed and talent. These shows demonstrate just how smart and amazing these creatures are. You can see how much the trainers care for them. There's also a big emphasis on all of SeaWorlds work outside of the park. Others things to do at the park... we spent some time at the arcade area, winning tickets redeemable for prices... and also hung out at the Sesame Street area where there's rides for small kids and different play areas. The petting ponds close to the entrance occupied the kids and my hubby too! Haha Out of all the exhibits, the shark one was our favorite. You go down into a glass tunnel under the water and watch the sharks swim all around. Prices for trinkets and souvenirs are actually not too terrible. There's also a lot of items on sale for 40-50% off! I got a cute little snow globe for less than $5. They don't use plastic bags, so you can get a paper bag for 10cents, or a cute reusable bag for a dollar or more. There's a bunch of snack vendors and food options around. We spent a ton on drinks during this visit since our trip was unplanned and we didn't bring our own. So yea, definitely save some $$ by bringing lots of water and snacks. Also, bring sunscreen and wear hats and protective clothing!!! There are SOME shaded areas. But you're sitting out in the sun during all the shows and going from one exhibit to another.. the sun was brutal the other day. Cover up!Check online for promotional deals. We paid $59.99 Â for one day, plus $10 more for a return ticket"
193,1/5/2018,5,"If you love sea life and entertainment, this is the place for you. Every time I visit San Diego, a stop at SeaWorld is a must. I really enjoyed the Seal show, along with the Dolphin show and orca show. The shows are not only very entertaining but they also provide you with informative facts. As for rides, they definitely cater more to the younger children, but there are three rides one can do for thrills and beautiful views."
194,8/22/2019,2,"The worst customer service and most frustrating I've ever experienced! Ended up not using their quick queue service and went to GS for a refund which they said they could do just for them not being able to because they ""couldn't pull up my receipt"" told me I wouldn't get charged ,which I did, and if I did to call a number. Called and they told me they couldn't do it and I'd have to go to the park after being on hold for 30+ minutes. Go to the park and they finally do the refund except it's been a week now and the money still isn't in my account and it doesn't take that long for a refund to go through. The money came out of my card quicker than it's taking to put back after being told that they would do the refund smh."
195,6/18/2018,3,I thoroughly have a great time when I go to this place but I have such a heart for the animals that are there and the possible mistreatment. But I'll leave a review anyways from my experience. Just went with the wife and wow do they have a lot of stuff to do here. I'm glad the killer whale shows are no longer going on but there is plenty more to see. They have other shows and events all day long it seems. They take care of the military too which is great. Make sure you go in the tower that takes you up and up and up to the clouds it seems to see all of San Diego! What a view from up there! They have a winter show as well but have never been. Can't wait to see what it will be like. But kind of weird to have a winter wonderland in San Diego no? Lol
196,7/31/2019,2,"Our visit sucked. Granted, I know better than to visit a theme park on a weekend. But when you're about to head to the workplace to get ahead of business on a Sunday and your cute-as-a-button daughter asks if you'll take her to Sea World instead - you go! First of all, parking is expensive. That would be fine, but if I pay $22 for the lousy spots in the back of the lot, it shouldn't be a scene from Mad Max immediately after passing through the payment booths. It was this day my friends! A total fuster cluck! To summarize my remaining beefs, corn dog and beer booths didn't open until deep in the afternoon, a decision based on the arbitrary whims of the employees, it seemed. Everything was crowded shoulder-to-shoulder and fellow English speakers were few and far between! I'm no xenophobe, but it's a fact that customs of courtesy vary from culture to culture. For example, queuing to receive a service - face painting, for example, required a bit of aggression. And for the cost of admittance, that shouldn't be an issue, in my estimation!"
197,6/11/2019,1,"Park and shows were great; however, their customer service sucks!I already bought Sea World San Diego park tickets through Costco.com. Upon arriving at the ticket booth, I was told the tickets that I had purchased from Costco.com cannot be used because the top shows Aquatica San Diego (another amusement park owned by Sea World) instead of Sea World San Diego. I explained to the staff that this is how it shows on the eVoucher from Costco, but the eVoucher is definitely for Sea World San Diego. Â The staff wouldn't scan my eVoucher tickets and insisted that I had to purchase four new tickets if we want to get in. Â We drove two hours to San Diego, and waited another half an hour in line to get tickets. There's no way that we will just go back without visiting the park even though I was unhappy about it. Â My kid, wife, and parents in law were all exhausted setting in the hot summer. Â So instead of arguing with the staff and create a scene. Â I purchased four new tickets at Sea World's website in front of the gate at a much higher price comparing with Costco price. Â I tried to resolve this with Sea World by calling them first yesterday, after waiting for over an hour, I was told to e-mail to swc.guestrelations@seawoâ€¦ instead. So I e-mailed them yesterday, but it has been over a day, and no still response. Â I am very upset about the experience with Sea World, and I swear that my family will never go to any of the Sea World's parks."
